variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,tau_,regularization
MacPyr,1.2772217180124368,0.35172986248117444,0.9757577185742354,0.12749874365170039,0.6714447753538253,21,"[""StrPur"", ""PycHel""]",0.2,100.0
MacJuv,0.5303465504177659,0.19624782279755928,0.5560149791262763,0.10516508294224197,0.8338203902314418,21,String[],0.5,100.0
MacPyr,1.1803813691355676,0.2986171175116498,0.9078575698379833,0.13344961633954563,0.701740301872378,21,String[],0.5,100.0
MacJuv,0.5311708461254301,0.19756571486019087,0.5514560044741987,0.10655212838202315,0.8334689895556009,21,"[""StrPur""]",0.5,100.0
MacPyr,1.232530508482016,0.3234086683735802,0.9089766023711952,0.14252930309654466,0.6791469482956898,21,"[""StrPur""]",0.5,100.0
MacJuv,0.572812565164004,0.21446609662917177,0.5630147748791663,0.11309883474902951,0.8157120467960821,21,"[""PycHel""]",0.5,100.0
MacPyr,1.2465246097219018,0.3093872055838179,0.9548639145039114,0.12937532888850348,0.6882144958243767,21,"[""PycHel""]",0.5,100.0
MacJuv,0.593873138153747,0.22758997972173547,0.5664677407490248,0.11683052615743084,0.8085808952692216,21,"[""StrPur"", ""PycHel""]",0.5,100.0
MacPyr,1.3037553730437494,0.33895108478923086,0.9525309961457347,0.14079063790347773,0.6662159166385444,21,"[""StrPur"", ""PycHel""]",0.5,100.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,1.1882512150839872,0.3240076849691819,0.8434228851637545,0.15441649067797703,0.5619456440390285,21,"[""StrPur""]",0.05,1000.0
MacPyr,1.937604842628414,0.6231796347880928,1.0532375927644833,0.20350619349495125,0.3790947774388111,21,"[""StrPur""]",0.05,1000.0
MacJuv,0.8366139564062555,0.2304146149317323,0.72478497420483,0.12475990893976305,0.7452476385690521,21,"[""PycHel""]",0.05,1000.0
MacPyr,1.4852209491132131,0.374463441231582,1.0104983696801728,0.152334171147994,0.5916028946715229,21,"[""PycHel""]",0.05,1000.0
MacJuv,0.9201504181961523,0.2646772343734092,0.7534247238479203,0.13275948246562977,0.724004800400334,21,"[""StrPur"", ""PycHel""]",0.05,1000.0
MacPyr,1.532369615506504,0.40210069105596064,1.019222523167053,0.1570915439760349,0.5877767068544971,21,"[""StrPur"", ""PycHel""]",0.05,1000.0
MacJuv,0.5447941404230557,0.19646381339442537,0.5544584862279818,0.10894262881738047,0.8279879397452526,21,String[],0.1,1000.0
MacPyr,1.2988401660650393,0.29832576198681116,0.9489762413555065,0.1411177273427783,0.648370989750736,21,String[],0.1,1000.0
MacJuv,0.545817633234361,0.20224580889330562,0.5542412728001674,0.10923237724210055,0.8269779812575301,21,"[""StrPur""]",0.1,1000.0
