"","PERIOD","1_MacJuv","1_MacPyr","2_MacJuv","2_MacPyr","3_MacJuv","3_MacPyr","4_MacJuv","4_MacPyr","5_MacJuv","5_MacPyr","6_MacJuv","6_MacPyr"
"43",44,-1.28534570659737,-2.07495487016591,-0.244457624771499,0.936907007196916,0.680750496528519,0.841477483894459,-0.154906762508342,0.464477287193792,-0.647128101242814,1.08143272180895,-0.882675230126054,-1.73675695726528
"44",45,-1.28534570659737,-2.07495487016591,0.325336199287891,0.55829502509895,0.080640366374898,0.936907007196916,0.469311835350729,0.358753856381792,-0.244457624771499,0.890556267503324,0.820145206886725,0.866377801157833
"45",46,-0.114826685413702,1.01229623388198,0.660716418139809,2.36292387395087,1.17437674695018,2.40855777342672,-1.04979857771413,-0.340495417720542,-1.28534570659737,0.237657733094583,0.37739465332077,0.540356727635874
"46",47,-0.00891049588825903,0.815810883909706,0.0522966621743731,2.18643127775304,0.842929723214439,1.78272886487359,-0.753044290768257,-0.653026730636419,-1.04979857771413,0.126279374293161,0.885981319317528,0.642619163093913
"48",50,1.53561246860567,-0.820405893549528,2.03871058089586,0.902387652876827,0.226636632994981,0.719195719066381,-0.882675230126054,0.464477287193792,-1.28534570659737,0.802675200094423,1.360141181557,0.484104044107036
"49",51,1.25300069084181,0.55829502509895,-0.882675230126054,0.484104044107036,0.469311835350729,0.484104044107036,-1.28534570659737,0.402663925179419,-1.28534570659737,0.423781475489621,0.523390919940853,0.828742905488951
"50",52,1.15728931804176,0.211176185625796,2.69163607815298,-0.197155344649374,2.66991357007458,0.237657733094583,-0.480004753654739,0.0959451701662267,-1.04979857771413,-0.340495417720542,0.18192760153217,0.789329336440921
"51",53,0.454967138645688,0.183826237575128,2.38238817636412,1.74509396920471,2.55030029623837,1.90072506912424,1.31896810188307,1.19635792656535,1.93715162884892,1.77863009159591,-0.154906762508342,0.15554899795196
"53",55,0.360554903247701,-1.31067797695575,1.92917011979224,0.263324333079335,2.01245485074333,0.263324333079335,0.584598078003485,0.60990521788466,1.51956997030391,0.959150956980874,0.737013533688995,1.02253070195992
"55",57,-1.28534570659737,-1.15860380645016,0.680750496528519,1.5695958314404,-0.753044290768257,1.29734886988151,0.360554903247701,0.288224650342709,0.850330214370493,1.03264111282284,0.938829618066938,0.464477287193792
"57",61,0.536159141595623,0.484104044107036,0.343212400482484,0.55829502509895,0.107665271599244,0.15554899795196,-0.154906762508342,-0.451873776521963,0.957470705085681,0.288224650342709,0.670819815399244,0.890556267503324
"58",63,-0.557577238979657,-0.0748735798212954,-0.480004753654739,0.775766457387845,-0.882675230126054,0.358753856381792,-0.244457624771499,0.183826237575128,-0.197958358611432,0.55829502509895,-0.557577238979657,-0.113675863621332
"60",65,-0.557577238979657,-0.653026730636419,0.639966687428357,0.211176185625796,0.607382594331199,-0.00229750481991066,-0.244457624771499,0.33590040808072,0.680750496528519,0.593054166306864,0.080640366374898,0.237657733094583
"61",67,-0.0773342771834238,-2.07495487016591,-1.28534570659737,-0.154371675325503,-1.28534570659737,0.288224650342709,0.0224988127852531,-0.918648568535666,0.0522966621743731,-0.451873776521963,0.158212851699816,0.815810883909706
"62",68,-0.882675230126054,-1.73675695726528,0.510335748070559,-0.00229750481991066,0.0224988127852531,-0.00229750481991066,0.343212400482484,-0.513687138536336,0.913006224541875,0.575855645995213,-0.411580972359574,0.0959451701662267
"63",69,-0.0773342771834238,-0.340495417720542,0.268149338927929,0.211176185625796,0.0224988127852531,-0.154371675325503,0.226636632994981,0.503279570993828,0.584598078003485,0.464477287193792,-0.0421155732236146,-0.113675863621332
"64",70,-1.28534570659737,-0.820405893549528,-0.295005204872071,-0.00229750481991066,0.30689240576723,-0.113675863621332,0.425169289256568,0.211176185625796,0.343212400482484,0.642619163093913,-0.411580972359574,0.0317520670695359
"65",71,-0.647128101242814,-1.15860380645016,-0.882675230126054,-0.03779642317925,0.226636632994981,-0.340495417720542,-0.411580972359574,-0.00229750481991066,-1.28534570659737,0.0317520670695359,-0.557577238979657,-0.289928500472415
"66",72,0.325336199287891,0.183826237575128,2.18205975144069,0.841477483894459,2.15155769612041,0.423781475489621,-0.480004753654739,-1.03002692733709,1.24931222956505,0.0317520670695359,-0.411580972359574,-0.513687138536336
"67",73,-0.197958358611432,0.689403313388867,-0.882675230126054,1.41963063470958,0.618448275560071,0.733702148767084,1.08832337086541,-0.289928500472415,1.54901915666395,1.55360622965108,0.247763713962973,-0.394326913239996
"68",74,0.618448275560071,0.33590040808072,2.62143279142576,1.04263043800892,2.26820463429095,0.358753856381792,0.548652756438605,0.484104044107036,1.07847685209768,0.878554640536505,-0.0773342771834238,0.0959451701662267
"69",75,0.536159141595623,0.237657733094583,-1.28534570659737,0.593054166306864,0.618448275560071,0.15554899795196,0.0224988127852531,0.211176185625796,-0.753044290768257,0.33590040808072,-1.28534570659737,-0.820405893549528
"70",76,-1.28534570659737,-1.03002692733709,-0.753044290768257,0.126279374293161,-0.411580972359574,0.237657733094583,-1.28534570659737,0.183826237575128,-1.28534570659737,0.237657733094583,-0.350373814296942,-0.918648568535666
