time,series,juv,adult
36,4,0.247763713962973,-0.451873776521963
37,4,1.73782153842023,0.522024150475759
38,4,-0.753044290768257,0.761979388390252
40,4,-0.753044290768257,0.33590040808072
41,4,-0.480004753654739,0.263324333079335
42,4,-0.350373814296942,-0.732524826140627
43,4,0.560883328171132,0.60990521788466
44,4,-0.154906762508342,0.464477287193792
45,4,0.469311835350729,0.358753856381792
46,4,-1.04979857771413,-0.340495417720542
47,4,-0.753044290768257,-0.653026730636419
49,4,0.975532181580686,1.13644817591407
50,4,-0.882675230126054,0.464477287193792
51,4,-1.28534570659737,0.402663925179419
52,4,-0.480004753654739,0.0959451701662267
53,4,1.31896810188307,1.19635792656535
54,4,0.496980431166713,0.3124031166882
55,4,0.584598078003485,0.60990521788466
56,4,0.425169289256568,0.540356727635874
57,4,0.360554903247701,0.288224650342709
60,4,-0.882675230126054,-0.03779642317925
61,4,-0.154906762508342,-0.451873776521963
63,4,-0.244457624771499,0.183826237575128
64,4,-0.753044290768257,-0.00229750481991066
65,4,-0.244457624771499,0.33590040808072
67,4,0.0224988127852531,-0.918648568535666
68,4,0.343212400482484,-0.513687138536336
69,4,0.226636632994981,0.503279570993828
70,4,0.425169289256568,0.211176185625796
71,4,-0.411580972359574,-0.00229750481991066
72,4,-0.480004753654739,-1.03002692733709
1,5,-1.28534570659737,0.55829502509895
2,5,1.3870270915182,0.126279374293161
3,5,1.4635038254346,0.948103130785291
4,5,0.728006675759206,0.828742905488951
5,5,1.27818429278291,0.464477287193792
6,5,0.629307109466296,0.540356727635874
7,5,2.14208579010112,0.828742905488951
8,5,1.5078335974098,1.58008777711987
9,5,-1.28534570659737,0.841477483894459
10,5,-1.28534570659737,0.402663925179419
11,5,-1.28534570659737,0.0317520670695359
12,5,1.68959073387087,-0.451873776521963
13,5,0.639966687428357,1.537304107796
14,5,0.548652756438605,0.878554640536505
15,5,-0.882675230126054,0.775766457387845
16,5,2.19017447093123,0.674098320981351
17,5,0.857637615117003,0.464477287193792
18,5,0.607382594331199,0.719195719066381
19,5,1.75666418585255,1.37418211109482
21,5,-0.557577238979657,0.62642256324334
22,5,0.107665271599244,-0.00229750481991066
23,5,1.51490383518118,1.20457571405846
24,5,0.969573865763958,1.39396403472483
25,5,0.737013533688995,1.01229623388198
26,5,-0.295005204872071,0.60990521788466
27,5,0.496980431166713,0.464477287193792
28,5,-0.350373814296942,0.575855645995213
29,5,-0.350373814296942,0.211176185625796
30,5,-0.114826685413702,-0.513687138536336
31,5,1.3870270915182,1.39396403472483
32,5,0.204712117859884,0.890556267503324
33,5,0.343212400482484,0.802675200094423
34,5,-0.00891049588825903,0.7479605931282
35,5,-0.411580972359574,-0.154371675325503
36,5,0.496980431166713,-1.15860380645016
38,5,-0.647128101242814,1.42592574899458
39,5,-1.28534570659737,0.970054363007531
40,5,-1.04979857771413,0.854020557607688
41,5,-1.04979857771413,0.593054166306864
42,5,0.857637615117003,-0.242252742734404
43,5,0.957470705085681,1.43217370842281
44,5,-0.647128101242814,1.08143272180895
45,5,-0.244457624771499,0.890556267503324
46,5,-1.28534570659737,0.237657733094583
47,5,-1.04979857771413,0.126279374293161
49,5,1.43733134985626,1.43217370842281
50,5,-1.28534570659737,0.802675200094423
51,5,-1.28534570659737,0.423781475489621
52,5,-1.04979857771413,-0.340495417720542
53,5,1.93715162884892,1.77863009159591
55,5,1.51956997030391,0.959150956980874
56,5,1.03197758593761,1.61580388039999
57,5,0.850330214370493,1.03264111282284
60,5,0.745882876953799,0.689403313388867
61,5,0.957470705085681,0.288224650342709
63,5,-0.197958358611432,0.55829502509895
64,5,-0.647128101242814,0.484104044107036
65,5,0.680750496528519,0.593054166306864
67,5,0.0522966621743731,-0.451873776521963
68,5,0.913006224541875,0.575855645995213
69,5,0.584598078003485,0.464477287193792
70,5,0.343212400482484,0.642619163093913
71,5,-1.28534570659737,0.0317520670695359
72,5,1.24931222956505,0.0317520670695359
1,6,-0.480004753654739,-0.113675863621332
2,6,-0.197958358611432,-0.0748735798212954
3,6,0.618448275560071,-0.00229750481991066
4,6,-0.154906762508342,0.15554899795196
5,6,-0.557577238979657,0.0317520670695359
6,6,-0.114826685413702,-0.918648568535666
9,6,-1.28534570659737,-0.113675863621332
10,6,-1.28534570659737,-0.03779642317925
11,6,-0.295005204872071,-0.289928500472415
12,6,0.18192760153217,-0.451873776521963
13,6,0.425169289256568,0.263324333079335
14,6,-0.0421155732236146,0.3124031166882
15,6,-1.04979857771413,0.38099780616575
16,6,-0.882675230126054,-0.0748735798212954
17,6,-0.154906762508342,-0.113675863621332
18,6,-0.0421155732236146,-0.289928500472415
19,6,0.788305419720364,0.402663925179419
21,6,-1.28534570659737,0.0317520670695359
22,6,-1.28534570659737,-0.113675863621332
23,6,-0.350373814296942,-0.154371675325503
24,6,-0.882675230126054,-0.00229750481991066
25,6,0.287843791057613,-0.340495417720542
26,6,-0.480004753654739,0.0317520670695359
27,6,-0.753044290768257,-0.394326913239996
28,6,-1.28534570659737,-0.918648568535666
29,6,-0.557577238979657,-0.580450655635035
30,6,-1.28534570659737,-2.07495487016591
31,6,-1.28534570659737,-2.07495487016591
