variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.6817290351369615,0.18564632701484737,0.6673323725535253,0.10871902769962682,0.7566273494846899,21,"[""PycHel""]",3,0.1,2,1000.0,4
MacPyr,3.112133844214208,1.4623115434937677,1.2318578742459716,0.28237032615630886,-0.39582628666706987,21,"[""PycHel""]",3,0.1,2,1000.0,4
MacJuv,0.6821570196117274,0.1855213564500596,0.6679331152850205,0.1086329538209688,0.7565558134285978,21,"[""StrPur"", ""PycHel""]",4,0.1,2,1000.0,4
MacPyr,3.123508304630621,1.4705860489499525,1.2339046636130437,0.28292999008099173,-0.3986578151060618,21,"[""StrPur"", ""PycHel""]",4,0.1,2,1000.0,4
MacJuv,1.1406215827802222,0.2789724903716683,0.868751704953282,0.13890501393416074,0.6543322622432334,21,String[],1,0.2,3,1000.0,4
MacPyr,2.622321819283543,1.1691957183488373,1.162283469527326,0.2521327979207648,-0.11335570607473804,21,String[],1,0.2,3,1000.0,4
MacJuv,1.1470372738333048,0.2803615291536418,0.8712593621414778,0.13927390238557436,0.6523661599460799,21,"[""StrPur""]",2,0.2,3,1000.0,4
MacPyr,2.6197744904738784,1.1680938139295542,1.1613244551722677,0.2521011701968789,-0.11205864468305876,21,"[""StrPur""]",2,0.2,3,1000.0,4
MacJuv,1.1431224154846933,0.2793906533443834,0.8695350841007355,0.13910987617754175,0.6535197816865916,21,"[""PycHel""]",3,0.2,3,1000.0,4
MacPyr,2.6223993331480218,1.169386344584636,1.1620340066607757,0.2521979679251923,-0.11331486687732545,21,"[""PycHel""]",3,0.2,3,1000.0,4
MacJuv,1.149729072575954,0.2807897634957612,0.8721334363794936,0.13948339358591225,0.6509675840485077,21,"[""StrPur"", ""PycHel""]",4,0.2,3,1000.0,4
MacPyr,2.6181888899264343,1.1676175135037474,1.160675890739898,0.25209327307383456,-0.11151037275476924,21,"[""StrPur"", ""PycHel""]",4,0.2,3,1000.0,4
MacJuv,1.504166951441572,0.37668612711371713,0.9950173185613542,0.16032895671159103,0.31515986026267223,21,String[],1,0.5,4,1000.0,4
MacPyr,2.617282272241644,1.238153309070735,1.1494968728240322,0.25455247117337265,-0.05854425054669631,21,String[],1,0.5,4,1000.0,4
MacJuv,1.5040988083168667,0.37664934559005464,0.9950148238089442,0.16031910502452948,0.31517822592855155,21,"[""StrPur""]",2,0.5,4,1000.0,4
MacPyr,2.6173632540460012,1.2382073399500124,1.1495397593705627,0.2545507410784999,-0.058533085708526424,21,"[""StrPur""]",2,0.5,4,1000.0,4
MacJuv,1.5041177047025482,0.3766644954792731,0.9950147443257339,0.16032207634585807,0.3151770097332921,21,"[""PycHel""]",3,0.5,4,1000.0,4
MacPyr,2.6174218044069835,1.2382340066740132,1.1495569263542447,0.2545526151385962,-0.05855294608013102,21,"[""PycHel""]",3,0.5,4,1000.0,4
MacJuv,1.5039195557280627,0.37649136005313544,0.9950095375184418,0.16029279085089873,0.3152172823656515,21,"[""StrPur"", ""PycHel""]",4,0.5,4,1000.0,4
MacPyr,2.6094904081739783,1.2319659965996772,1.1478921415382628,0.25414897595393526,-0.05741915952302992,21,"[""StrPur"", ""PycHel""]",4,0.5,4,1000.0,4
