variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars_ind,tau_,covars,tau_ind,regularization,regularization_ind
MacJuv,1.2508729646160943,0.3852693236447553,0.8885297353918785,0.15188612081762645,0.18339998061247428,21,1,0.5,String[],4,500.0,3
MacPyr,2.3682909090051645,1.1618443900956925,1.088803671129701,0.24318691111361757,0.05531938664700552,21,1,0.5,String[],4,500.0,3
MacJuv,1.2508719526855578,0.38527441265195594,0.888534723696819,0.15188449517159008,0.18343942403936006,21,2,0.5,"[""StrPur""]",4,500.0,3
MacPyr,2.3683351864929576,1.1618875701786504,1.0888057700394178,0.24319099300979755,0.055302347568594756,21,2,0.5,"[""StrPur""]",4,500.0,3
MacJuv,1.250999704368045,0.3852463419488414,0.888644993194634,0.151873266317373,0.18318829861841335,21,3,0.5,"[""PycHel""]",4,500.0,3
MacPyr,2.3682011080088765,1.1619604769891156,1.0887516125724281,0.24318933304421625,0.05545450797532933,21,3,0.5,"[""PycHel""]",4,500.0,3
MacJuv,1.2508947781530484,0.38527715677380187,0.888545221844571,0.15188518145135665,0.1833973790878193,21,4,0.5,"[""StrPur"", ""PycHel""]",4,500.0,3
MacPyr,2.368253163201802,1.1618227800876004,1.0887937866037,0.24318524353411944,0.05533639715720261,21,4,0.5,"[""StrPur"", ""PycHel""]",4,500.0,3
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,1.198086570063992,0.3570999909811893,0.8442528952260537,0.1557760602542024,0.20196309473020052,21,2,0.05,"[""StrPur""]",1,1000.0,4
MacPyr,1.6870195408565996,0.6170063148363306,0.9826329657746401,0.18992788044801828,0.07961055190334972,21,2,0.05,"[""StrPur""]",1,1000.0,4
MacJuv,1.195404290142644,0.35677496551863724,0.8425003951414448,0.15581998818013582,0.21069791746243205,21,3,0.05,"[""PycHel""]",1,1000.0,4
MacPyr,1.6790842689976988,0.6184151068319292,0.9785740619120615,0.18993118153039368,0.11697331073919173,21,3,0.05,"[""PycHel""]",1,1000.0,4
MacJuv,1.189361870201235,0.3578081229854316,0.8361677366339912,0.15655436538366205,0.24578013624063524,21,4,0.05,"[""StrPur"", ""PycHel""]",1,1000.0,4
MacPyr,1.6247259025565601,0.6083115969674853,0.9605864377871195,0.18734988632182473,0.2926117473111062,21,4,0.05,"[""StrPur"", ""PycHel""]",1,1000.0,4
MacJuv,0.671663403898627,0.18927730210844665,0.6356220500127594,0.11568232653180091,0.6829368712707963,21,1,0.1,String[],2,1000.0,4
MacPyr,2.8543130819863243,1.436502587251592,1.1570104824364495,0.2752852907002568,-0.3335988258022489,21,1,0.1,String[],2,1000.0,4
MacJuv,0.6731433885858558,0.1894286356983824,0.6364077271844553,0.11578613763438433,0.6820437223639428,21,2,0.1,"[""StrPur""]",2,1000.0,4
MacPyr,2.848797344649578,1.4239970043094954,1.15772858676224,0.27463265137662385,-0.33341186719876564,21,2,0.1,"[""StrPur""]",2,1000.0,4
MacJuv,0.6694825900947627,0.18944576337126132,0.6347935085854272,0.11543825006308912,0.6833196796223084,21,3,0.1,"[""PycHel""]",2,1000.0,4
MacPyr,2.7601754530371796,1.4261070546895955,1.1289599160869308,0.2725458641133791,-0.32918975820579344,21,3,0.1,"[""PycHel""]",2,1000.0,4
MacJuv,0.6700832186230005,0.18920051412327873,0.6354280341585634,0.11539376760215087,0.6830625518143346,21,4,0.1,"[""StrPur"", ""PycHel""]",2,1000.0,4
MacPyr,2.785957015613782,1.4242662294809132,1.1345017298390374,0.2737574510954921,-0.3368553090000848,21,4,0.1,"[""StrPur"", ""PycHel""]",2,1000.0,4
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,0.8297073207540403,0.26373620541296605,0.7111888705579877,0.12726305653026213,0.6604748197295552,21,2,0.2,"[""StrPur""]",3,1000.0,4
MacPyr,2.454141821634908,1.1783285703739994,1.1053479109717936,0.24822850534791524,-0.03168953065826851,21,2,0.2,"[""StrPur""]",3,1000.0,4
MacJuv,0.8301239260903446,0.26331328778268187,0.7126853387343917,0.1269258708938784,0.6604221262021145,21,3,0.2,"[""PycHel""]",3,1000.0,4
MacPyr,2.4530744401723963,1.1793797384982105,1.1043167406741141,0.2483504556508099,-0.031890522582174015,21,3,0.2,"[""PycHel""]",3,1000.0,4
MacJuv,0.830295026926146,0.263972333449372,0.7112538282672782,0.1273603193112531,0.6605527611152158,21,4,0.2,"[""StrPur"", ""PycHel""]",3,1000.0,4
MacPyr,2.450500757506824,1.17510929115389,1.1047683232916425,0.24799069633337018,-0.03036511260218707,21,4,0.2,"[""StrPur"", ""PycHel""]",3,1000.0,4
MacJuv,1.250854167412894,0.38526526085164625,0.8885173372593277,0.15188665326527015,0.18341299198017097,21,1,0.5,String[],4,1000.0,4
