variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.7320019577809159,0.21637243164421657,0.6678165268665507,0.1195874249711928,0.36838544106069243,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,2
MacPyr,1.2446072634788767,0.36671547007514527,0.8778506564621887,0.15394568659559463,0.38911921944914984,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,2
MacJuv,0.6695657053020455,0.1751840856201516,0.6793413667734567,0.10199534614197285,0.5114766773305245,21,String[],1,0.1,2,100.0,2
MacPyr,1.5578789399349342,0.48884689387823926,0.9541928338785164,0.17991594922488388,0.3451341859103953,21,String[],1,0.1,2,100.0,2
MacJuv,0.671411172298121,0.2145769011260532,0.6526392123605904,0.1107865584778833,0.4741681700860295,21,"[""StrPur""]",2,0.1,2,100.0,2
MacPyr,1.8216056197395294,0.590067168668732,1.026634169384426,0.1959117023038541,0.15353091940863114,21,"[""StrPur""]",2,0.1,2,100.0,2
MacJuv,0.7920409028384309,0.21717870964404346,0.7022592864139148,0.12224418135106685,0.40297654009356265,21,"[""PycHel""]",3,0.1,2,100.0,2
MacPyr,1.6537185323833201,0.733417594014003,0.8340207246418858,0.21887530276976713,0.32957993272242386,21,"[""PycHel""]",3,0.1,2,100.0,2
MacJuv,0.7966987253644982,0.3032589223838409,0.6879741500251194,0.12715940670310485,0.4099374542078954,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,2
MacPyr,1.9880671845956155,0.6295821054732373,1.0114584191394922,0.21966099459706712,0.12373028642384218,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,2
MacJuv,0.5628253376653485,0.1655516753352758,0.5870745285183127,0.10444348606551519,0.5754721995292189,21,String[],1,0.2,3,100.0,2
MacPyr,1.4112781318994638,0.4364484718050158,0.9099454443387993,0.1707743277291012,0.4186326091506292,21,String[],1,0.2,3,100.0,2
MacJuv,0.6380074834740176,0.1964182255587643,0.6046284237975053,0.11671160023968527,0.5056326080896685,21,"[""StrPur""]",2,0.2,3,100.0,2
MacPyr,1.4191432140884284,0.4431665340865102,0.9446727541925937,0.16228625967324042,0.3568040172219877,21,"[""StrPur""]",2,0.2,3,100.0,2
MacJuv,0.6498952345630202,0.209491489047337,0.6222237163796108,0.11461519998188852,0.5006794573812318,21,"[""PycHel""]",3,0.2,3,100.0,2
MacPyr,1.1606989345413077,0.399053637043203,0.7794146729276011,0.16631471705271125,0.5444646824789855,21,"[""PycHel""]",3,0.2,3,100.0,2
MacJuv,0.6633458578359456,0.2143358438257318,0.6058545094642784,0.12171404421794225,0.48178768904003944,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,2
MacPyr,1.4206962376950867,0.4583803546030823,0.8739557079138448,0.18123157262186654,0.378881300131784,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,2
MacJuv,0.5919448846438924,0.211646695440602,0.5862277460760394,0.11141856092556994,0.6304273460218309,21,String[],1,0.5,4,100.0,2
MacPyr,1.2518494370214277,0.3937017564984936,0.8518018864560146,0.16221636527357558,0.5332942590308883,21,String[],1,0.5,4,100.0,2
MacJuv,0.6058822805138695,0.2167687794577879,0.5950365071070374,0.1122082518631598,0.6148000462351247,21,"[""StrPur""]",2,0.5,4,100.0,2
MacPyr,1.269256127954104,0.4025938973325684,0.8600623273019026,0.1627189173252666,0.526009802280579,21,"[""StrPur""]",2,0.5,4,100.0,2
MacJuv,0.6137822439236124,0.22176082816240472,0.5997018943788278,0.11272530368157314,0.6118852001155863,21,"[""PycHel""]",3,0.5,4,100.0,2
MacPyr,1.1556362190321547,0.34473862668628313,0.8222185669489969,0.15485361590813637,0.5996988250452916,21,"[""PycHel""]",3,0.5,4,100.0,2
MacJuv,0.591022413313378,0.2180905158524945,0.5783390119854642,0.11325775923287887,0.6754287391246026,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,2
